courseWebpage,lectureLink,topicLink
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=yX0TDFx7Obw,https://www.wikidata.org/wiki/Q554950
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=aep1v2pZ44Y,https://www.wikidata.org/wiki/Q554950
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=yX0TDFx7Obw,https://www.wikidata.org/wiki/Q33002955
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=aep1v2pZ44Y,https://www.wikidata.org/wiki/Q33002955
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=yX0TDFx7Obw,https://www.wikidata.org/wiki/Q324254
https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html,https://www.youtube.com/watch?v=aep1v2pZ44Y,https://www.wikidata.org/wiki/Q324254
